file,type,length,modification,result,match,
007385,Audio Collage,15,original,Success,None,
007386,Audio Collage,15,original,Success,None,
007388,Audio Collage,15,original,Success,None,
007391,Audio Collage,15,original,Success,None,
007393,Audio Collage,15,original,Success,None,
007481,Hip-Hop,15,original,Success,None,
007482,Hip-Hop,15,original,Success,None,
007483,Hip-Hop,15,original,Success,None,
007487,Hip-Hop,15,original,Success,None,
007488,Hip-Hop,15,original,Success,None,
007489,Hip-Hop,15,original,Success,None,
007490,Hip-Hop,15,original,Success,None,
007491,Hip-Hop,15,original,Success,None,
007492,Hip-Hop,15,original,Success,None,
007495,Post-Punk,15,original,Success,None,
007526,Pop,15,original,Success,None,
007527,Pop,15,original,Success,None,
007528,Pop,15,original,Success,None,
007529,Pop,15,original,Success,None,
007548,Avant-Garde,15,original,Success,None,
007554,Avant-Garde,15,original,Success,None,
007709,Folk,15,original,Success,None,
007710,Folk,15,original,Success,None,
007711,Folk,15,original,Success,None,
007712,Folk,15,original,Success,None,
007713,Folk,15,original,Success,None,
007872,Rock,15,original,Success,None,
008056,Garage,15,original,Success,None,
008208,Rock,15,original,Success,None,
008256,Folk,15,original,Success,None,
008259,Folk,15,original,Success,None,
008261,Folk,15,original,Success,None,
008345,Audio Collage,15,original,Success,None,
008357,Avant-Garde,15,original,Success,None,
008363,Avant-Garde,15,original,Success,None,
008372,Audio Collage,15,original,Success,None,
008416,Audio Collage,15,original,Success,None,
009152,Avant-Garde,15,original,Success,None,
009155,Noise,15,original,Success,None,
009307,Noise,15,original,Success,None,
009476,Field Recordings,15,original,Success,None,
009477,Avant-Garde,15,original,Success,None,
009491,Electro-punk,15,original,Success,None,
009505,Avant-Garde,15,original,Success,None,
009511,Psych-Rock,15,original,Success,None,
009512,International,15,original,Success,None,
009513,Lo-fi,15,original,Success,None,
009550,,15,original,Success,None,
009553,Rock,15,original,Success,None,
009555,Rock,15,original,Success,None,
009557,Rock,15,original,Success,None,
009559,Rock,15,original,Success,None,
009560,Rock,15,original,Success,None,
009678,Experimental,15,original,Success,None,
009721,Avant-Garde,15,original,Success,None,
009846,Avant-Garde,15,original,No result,None,
009887,Folk,15,original,Success,None,
009888,Folk,15,original,Success,None,
009918,Audio Collage,15,original,Success,None,
009962,Electro-Punk,15,original,Success,None,
010186,Reggae,15,original,Success,None,
010192,Hip-Hop,15,original,Success,None,
010250,Audio Collage,15,original,Success,None,
010374,Noise,15,original,Success,None,
010375,Noise,15,original,Success,None,
010376,Noise,15,original,Success,None,
010377,Noise,15,original,Success,None,
010381,Folk,15,original,Success,None,
010382,Folk,15,original,Success,None,
010383,Folk,15,original,Success,None,
010384,Folk,15,original,Success,None,
010385,Folk,15,original,Success,None,
010386,Folk,15,original,Success,None,
010387,Folk,15,original,Success,None,
010388,Folk,15,original,Success,None,
010389,Folk,15,original,Success,None,
010435,Audio Collage,15,original,Success,None,
010438,Folk,15,original,Success,None,
010439,Folk,15,original,Success,None,
010440,Folk,15,original,Success,None,
010441,Folk,15,original,Success,None,
010442,Folk,15,original,Success,None,
010443,Folk,15,original,Success,None,
010444,Folk,15,original,Success,None,
010447,Folk,15,original,Success,None,
010458,Folk,15,original,Success,None,
010480,Folk,15,original,Success,None,
010481,Folk,15,original,Success,None,
010485,Folk,15,original,Success,None,
010521,Pop,15,original,Success,None,
010527,Pop,15,original,Success,None,
010535,Psych-Rock,15,original,Success,None,
010541,Unclassifiable,15,original,Success,None,
010575,Psych-Folk,15,original,Success,None,
010577,Psych-Folk,15,original,Success,None,
010668,Industrial,15,original,Success,None,
010669,Industrial,15,original,Success,None,
010670,Industrial,15,original,Success,None,
010671,Industrial,15,original,Success,None,
010672,Industrial,15,original,Success,None,
010673,Industrial,15,original,Success,None,
010674,Industrial,15,original,Success,None,
010675,Industrial,15,original,Success,None,
010676,Industrial,15,original,Success,None,
010677,Industrial,15,original,Success,None,
010678,Folk,15,original,Success,None,
010679,Folk,15,original,Success,None,
010682,Folk,15,original,Success,None,
010684,Folk,15,original,Success,None,
010693,Hip-Hop,15,original,Success,None,
010694,Hip-Hop,15,original,Success,None,
010695,Hip-Hop,15,original,Success,None,
010696,Hip-Hop,15,original,Can't generate fingerprint,None,
010697,Hip-Hop,15,original,Success,None,
010698,Hip-Hop,15,original,Success,None,
010699,Hip-Hop,15,original,Success,None,
010805,EDM,15,original,Success,None,
010806,EDM,15,original,Success,None,
010807,EDM,15,original,Success,None,
010808,EDM,15,original,Success,None,
010809,EDM,15,original,Success,None,
010810,EDM,15,original,Success,None,
010983,Avant-Garde,15,original,Success,None,
010992,Folk,15,original,Success,None,
010993,Folk,15,original,Success,None,
011019,Audio Collage,15,original,Success,None,
011020,Audio Collage,15,original,Success,None,
011059,Folk,15,original,Success,None,
011198,Jazz,15,original,Success,None,
011199,Jazz,15,original,Success,None,
011200,Jazz,15,original,Success,None,
011204,Hip-Hop,15,original,Success,None,
011206,Jazz,15,original,Success,None,
011234,Avant-Garde,15,original,Success,None,
011237,Avant-Garde,15,original,Success,None,
011239,Avant-Garde,15,original,Success,None,
011242,Avant-Garde,15,original,Success,None,
011261,Experimental Pop,15,original,Success,None,
011262,Other,15,original,Success,None,
011264,Other,15,original,Success,None,
011268,Indie,15,original,Success,None,
011298,Hip-Hop,15,original,Success,None,
011299,Hip-Hop,15,original,Success,None,
011306,Rock,15,original,Success,None,
011333,Experimental,15,original,Success,None,
011334,Experimental,15,original,Success,None,
011503,Folk,15,original,Success,None,
011504,Folk,15,original,Success,None,
011505,Folk,15,original,Success,None,
011508,Folk,15,original,Success,None,
011544,Avant-Garde,15,original,Success,None,
011638,Electronic,15,original,Success,None,
011671,Latin America,15,original,Success,None,
011672,Latin America,15,original,Success,None,
011673,Latin America,15,original,Success,None,
011674,Latin America,15,original,Success,None,
011675,Latin America,15,original,Success,None,
011677,Latin America,15,original,Success,None,
011679,Latin America,15,original,Success,None,
011681,Latin America,15,original,Success,None,
011682,Latin America,15,original,Success,None,
011683,Latin America,15,original,Success,None,
011763,Hip-Hop,15,original,Success,None,
011764,Hip-Hop,15,original,Success,None,
011765,Hip-Hop,15,original,Success,None,
011766,Hip-Hop,15,original,Success,None,
011767,Hip-Hop,15,original,Success,None,
011768,Hip-Hop,15,original,Success,None,
011769,Hip-Hop,15,original,Success,None,
011770,Hip-Hop,15,original,Success,None,
011771,Hip-Hop,15,original,Success,None,
011772,Hip-Hop,15,original,Success,None,
011773,Hip-Hop,15,original,Success,None,
011774,Hip-Hop,15,original,Success,None,
011775,Hip-Hop,15,original,Success,None,
011776,Hip-Hop,15,original,Success,None,
011777,Hip-Hop,15,original,Success,None,
011778,Hip-Hop,15,original,Success,None,
011779,Hip-Hop,15,original,Success,None,
011780,Hip-Hop,15,original,Success,None,
011781,Hip-Hop,15,original,Success,None,
011782,Hip-Hop,15,original,Success,None,
011783,Hip-Hop,15,original,Success,None,
011784,Hip-Hop,15,original,Success,None,
011785,Hip-Hop,15,original,Success,None,
011786,Hip-Hop,15,original,Success,None,
011787,Hip-Hop,15,original,Success,None,
011788,Hip-Hop,15,original,Success,None,
011789,Hip-Hop,15,original,Success,None,
011790,Hip-Hop,15,original,Success,None,
011791,Hip-Hop,15,original,Success,None,
011792,Hip-Hop,15,original,Success,None,
011793,Hip-Hop,15,original,Success,None,
011794,Hip-Hop,15,original,Success,None,
011795,Hip-Hop,15,original,Success,None,
011803,Hip-Hop,15,original,Success,None,
011818,Hip-Hop,15,original,Success,None,
011839,Hip-Hop,15,original,Success,None,
011861,Hip-Hop,15,original,Success,None,
011862,Hip-Hop,15,original,Success,None,
011867,Hip-Hop,15,original,Success,None,
011868,Hip-Hop,15,original,Success,None,
011916,Hip-Hop,15,original,Success,None,
011917,Hip-Hop,15,original,Success,None,
011918,Hip-Hop,15,original,Success,None,
011919,Hip-Hop,15,original,Success,None,
011920,Hip-Hop,15,original,Success,None,
011921,Hip-Hop,15,original,Success,None,
011922,Hip-Hop,15,original,Success,None,
011933,Rock,15,original,Success,None,
011937,Pop,15,original,Success,None,
011942,Drum and Bass,15,original,Success,None,
011946,Patriotic,15,original,Success,None,
011947,Patriotic,15,original,Success,None,
011951,Patriotic,15,original,Success,None,
012045,Folk,15,original,Success,None,
012046,Folk,15,original,Success,None,
012047,Folk,15,original,Success,None,
012048,Folk,15,original,Success,None,
012049,Folk,15,original,Success,None,
012050,Folk,15,original,Success,None,
012051,Folk,15,original,Success,None,
012052,Folk,15,original,Success,None,
012053,Folk,15,original,Success,None,
012058,Folk,15,original,Success,None,
012059,Folk,15,original,Success,None,
012060,Folk,15,original,No result,None,
012061,Folk,15,original,No result,None,
012062,Folk,15,original,No result,None,
012064,Folk,15,original,No result,None,
012065,Folk,15,original,No result,None,
012066,Folk,15,original,No result,None,
012067,Folk,15,original,No result,None,
012109,International,15,original,No result,None,
012146,Electronic,15,original,No result,None,
012147,Electronic,15,original,No result,None,
012173,Beat Music,15,original,No result,None,
012174,Beat Music,15,original,No result,None,
012179,Beat Music,15,original,No result,None,
012188,Beat Music,15,original,No result,None,
012189,Beat Music,15,original,No result,None,
012346,Electroacoustic,15,original,No result,None,
012348,Psych-Folk,15,original,No result,None,
012349,Psych-Folk,15,original,No result,None,
012350,Psych-Folk,15,original,No result,None,
012351,Psych-Folk,15,original,No result,None,
012352,Psych-Folk,15,original,No result,None,
012353,Psych-Folk,15,original,No result,None,
012355,Psych-Folk,15,original,No result,None,
012376,Pop,15,original,No result,None,
012387,Pop,15,original,No result,None,
012390,Pop,15,original,No result,None,
012394,Hip-Hop,15,original,No result,None,
012481,Folk,15,original,No result,None,
012482,Folk,15,original,No result,None,
012484,Folk,15,original,No result,None,
012485,Folk,15,original,No result,None,
012486,Folk,15,original,No result,None,
012487,Folk,15,original,No result,None,
012488,Folk,15,original,No result,None,
012489,Folk,15,original,No result,None,
012490,Folk,15,original,No result,None,
000002,Hip-Hop,10,original,Success,None,
000005,Hip-Hop,10,original,Success,None,
000010,Pop,10,original,Success,None,
000140,Folk,10,original,Success,None,
000141,Folk,10,original,Success,None,
000148,Revival,10,original,Success,None,
000182,Lo-fi,10,original,Success,None,
000190,Folk,10,original,Success,None,
000193,Folk,10,original,Success,None,
000194,Folk,10,original,Success,None,
000197,Folk,10,original,Success,None,
000200,Folk,10,original,Success,None,
000203,Folk,10,original,Success,None,
000204,Folk,10,original,Success,None,
000207,Folk,10,original,Success,None,
000210,Folk,10,original,Success,None,
000211,Folk,10,original,Success,None,
000212,Folk,10,original,Success,None,
000213,Pop,10,original,Success,None,
000255,Pop,10,original,Success,None,
000256,Metal,10,original,Success,None,
000368,Tecno,10,original,Success,None,
000424,Avant-Garde,10,original,Success,None,
000459,Krautrock,10,original,Success,None,
000534,Folk,10,original,Success,None,
000540,Folk,10,original,Success,None,
000546,Folk,10,original,Success,None,
000574,Punk,10,original,Success,None,
000602,Folk,10,original,Success,None,
000615,Electroacoustic,10,original,No result,None,
000620,Folk,10,original,Success,None,
000621,Folk,10,original,Success,None,
000625,Folk,10,original,Success,None,
000666,Reggae,10,original,Success,None,
000667,Reggae,10,original,Success,None,
000676,Hip-Hop,10,original,Success,None,
000690,Rock,10,original,Success,None,
000694,Hip-Hop,10,original,Success,None,
000695,Hip-Hop,10,original,Success,None,
000704,Latin,10,original,Success,None,
000705,Latin,10,original,Success,None,
000706,Latin,10,original,Success,None,
000707,Latin,10,original,Success,None,
000708,Latin,10,original,Success,None,
000709,Latin,10,original,Success,None,
000714,Folk,10,original,Success,None,
000715,Folk,10,original,Success,None,
000716,Folk,10,original,Success,None,
000718,Folk,10,original,Success,None,
000777,Rock,10,original,Success,None,
000814,Folk,10,original,Success,None,
000821,Pop,10,original,Success,None,
000822,Pop,10,original,Success,None,
000825,Rock,10,original,Success,None,
000853,International,10,original,Success,None,
000890,Free Folk,10,original,Success,None,
000892,Free Folk,10,original,Success,None,
000897,Noise,10,original,Success,None,
000993,Rock,10,original,Success,None,
000995,Noise,10,original,Success,None,
000997,Noise,10,original,Success,None,
000998,Noise,10,original,Success,None,
